,volume,open,high,low,close,caldt
354,81873829.0,343.5,348.02,333.33,342.69,2025-06-02
355,99324544.0,346.595,355.4,343.04,344.27,2025-06-03
356,98912075.0,345.095,345.6,327.3308,332.05,2025-06-04
357,292818655.0,322.49,324.5499,273.21,284.7,2025-06-05
358,164747685.0,298.83,305.5,291.14,295.14,2025-06-06
359,140908876.0,285.955,309.83,281.85,308.58,2025-06-09
360,151256520.0,314.94,327.83,310.667,326.09,2025-06-10
361,122611360.0,334.395,335.5,322.5,326.43,2025-06-11
362,105127536.0,323.075,332.56,316.86,319.11,2025-06-12
363,128964279.0,313.97,332.99,313.3,325.31,2025-06-13
364,83925858.0,331.29,332.05,326.41,329.13,2025-06-16
365,88282669.0,326.09,327.26,314.74,316.35,2025-06-17
366,95137686.0,317.31,329.32,315.45,322.05,2025-06-18
367,108688008.0,327.95,332.36,317.78,322.16,2025-06-20
368,190716815.0,327.54,357.54,327.48,348.68,2025-06-23
369,114736245.0,356.17,356.26,340.44,340.47,2025-06-24
370,119845050.0,342.7,343.0,320.4,327.55,2025-06-25
371,80440907.0,324.61,331.05,323.61,325.78,2025-06-26
372,89067049.0,324.51,329.3393,317.495,323.63,2025-06-27
373,76695081.0,319.9,325.5799,316.6,317.66,2025-06-30
374,145085665.0,298.46,305.89,293.21,300.71,2025-07-01
375,119483730.0,312.63,316.832,303.82,315.65,2025-07-02
376,58042302.0,317.99,318.45,312.76,315.35,2025-07-03
377,131177949.0,291.37,296.15,288.7701,293.94,2025-07-07
378,103246742.0,297.0,304.0499,294.35,297.81,2025-07-08
379,75586771.0,297.55,300.15,293.55,295.88,2025-07-09
380,104365271.0,300.05,310.48,300.0,309.87,2025-07-10
381,79236442.0,307.89,314.09,305.65,313.51,2025-07-11
382,78043430.0,317.73,322.5986,312.67,316.9,2025-07-14
383,77556346.0,319.675,321.2,310.5,310.78,2025-07-15
384,97284786.0,312.8,323.5,312.62,321.67,2025-07-16
385,73922870.0,323.15,324.34,317.0601,319.41,2025-07-17
386,94254993.0,321.66,330.9,321.42,329.65,2025-07-18
387,75768797.0,334.4,338.0,326.88,328.49,2025-07-21
388,77370371.0,329.74,335.4098,321.55,332.11,2025-07-22
389,92553756.0,330.9,336.2,328.67,332.56,2025-07-23
390,156966023.0,310.0,310.15,300.41,305.3,2025-07-24
391,148227027.0,308.74,323.63,308.01,316.06,2025-07-25
392,112673755.0,318.45,330.49,315.69,325.59,2025-07-28
393,87358861.0,325.55,326.25,318.25,321.2,2025-07-29
394,83931942.0,322.18,324.4499,311.6164,319.04,2025-07-30
395,85270919.0,319.605,321.37,306.1,308.27,2025-07-31
396,89121446.0,306.205,309.31,297.82,302.63,2025-08-01
397,78683905.0,309.08,312.1186,303.0001,309.26,2025-08-04
398,57961278.0,308.95,312.4499,305.5,308.72,2025-08-05
399,78523579.0,307.89,320.47,306.9345,319.91,2025-08-06
400,66658672.0,319.79,322.4,316.16,322.27,2025-08-07
401,91200319.0,321.43,335.15,320.98,329.65,2025-08-08
402,105320174.0,335.0,346.64,334.15,339.03,2025-08-11
